City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,clorinda,-25.2848,-57.7185,77.61,95,86,3.96,AR,1712894193
1,yellowknife,62.456,-114.3525,36.41,79,20,12.66,CA,1712894194
2,roxas,11.5853,122.7511,82.15,66,100,9.64,PH,1712894194
3,isafjordur,66.0755,-23.124,24.1,92,100,26.46,IS,1712894195
4,zhanaozen,43.3,52.8,50.9,53,0,21.68,KZ,1712894195
5,talnakh,69.4865,88.3972,-9.47,96,94,11.27,RU,1712894055
6,port alfred,-33.5906,26.891,58.17,79,98,7.0,ZA,1712894196
7,avarua,-21.2078,-159.775,82.45,89,75,19.57,CK,1712894196
8,masterton,-40.9597,175.6575,64.89,98,100,3.0,NZ,1712894054
9,hermanus,-34.4187,19.2345,54.81,79,54,13.29,ZA,1712894048
10,dimapur,25.9,93.7333,82.38,57,40,8.05,IN,1712894198
11,karema,-6.8205,30.4389,70.66,88,100,6.51,TZ,1712894199
12,klyuchi,52.2667,79.1667,32.2,42,4,3.51,RU,1712894199
13,port elizabeth,-33.918,25.5701,59.29,76,20,10.36,ZA,1712894199
14,walvis bay,-22.9575,14.5053,58.15,100,51,6.91,NA,1712894066
15,enewetak,11.3474,162.3373,80.19,80,78,19.91,MH,1712894200
16,woodward,36.4337,-99.3904,54.52,37,0,0.0,US,1712894201
17,longyearbyen,78.2186,15.6401,3.04,60,40,4.61,SJ,1712894201
18,grytviken,-54.2811,-36.5092,30.72,74,25,10.38,GS,1712894202
19,saipan,15.1355,145.701,88.5,66,20,16.11,MP,1712894045
20,bonga,7.2833,36.2333,60.46,96,22,1.99,ET,1712894203
21,feodosiya,45.0333,35.3833,56.08,77,9,9.44,UA,1712894203
22,nadi,-17.8,177.4167,87.8,66,20,11.5,FJ,1712894204
23,hawaiian paradise park,19.5933,-154.9731,72.03,98,100,5.75,US,1712894045
24,port-aux-francais,-49.35,70.2167,42.87,88,100,16.6,TF,1712894043
25,suva,-18.1416,178.4415,85.48,70,40,9.22,FJ,1712894205
26,manggar,-2.8833,108.2667,88.0,63,33,5.79,ID,1712894206
27,coronel dorrego,-38.7187,-61.2873,51.13,63,100,11.7,AR,1712894206
28,bilibino,68.0546,166.4372,19.9,73,89,3.98,RU,1712894047
29,fortuna,40.5982,-124.1573,50.67,90,20,4.61,US,1712894207
30,edinburgh of the seven seas,-37.0676,-12.3116,65.8,92,36,18.12,SH,1712894207
31,seminole,28.7086,-81.2081,71.73,80,20,13.8,US,1712894084
32,kapa'a,22.0752,-159.319,73.72,92,100,9.22,US,1712894208
33,media luna,20.1419,-77.435,79.09,79,91,7.78,CU,1712894209
34,iqaluit,63.7506,-68.5145,20.93,79,75,13.8,CA,1712894044
35,keflavik,64.0049,-22.5624,37.31,100,75,11.5,IS,1712894053
36,college,64.8569,-147.8028,43.12,46,75,9.22,US,1712894046
